client_id,account_id,age,state,city,district_id,sex,balance_last,diff_date,trans_count,amount_loan,amount_credit,is_has_loan,is_has_card
C00000001,A00000001,29,NM,Albuquerque,18,Female,13466.5,1378,57,,28765.5,0,0
C00000002,A00000002,54,NY,New York City,1,Male,42628.1,2134,82,80952.0,59117.5,1,0
C00000003,A00000002,59,NY,New York City,1,Female,42628.1,2134,82,80952.0,59117.5,1,0
C00000004,A00000003,43,IN,Indianapolis,5,Male,51096.1,542,46,,173059.0,0,0
C00000005,A00000003,39,IN,Indianapolis,5,Female,51096.1,542,46,,173059.0,0,0
C00000006,A00000004,80,OR,Portland,12,Male,33720.7,1044,31,,3544.0,0,0
C00000007,A00000005,71,KY,Louisville,15,Male,28088.3,580,16,,2162.0,0,0
C00000008,A00000006,61,MA,Springfield,51,Female,47668.0,1556,48,,7498.5,0,0
C00000009,A00000007,64,MA,Lynn,60,Male,68495.5,767,51,,630267.9,0,1
C00000010,A00000008,56,MA,New Bedford,57,Male,72617.2,1197,84,,892761.7,0,0
C00000011,A00000008,49,MA,New Bedford,57,Female,72617.2,1197,84,,892761.7,0,0
C00000012,A00000009,18,ND,Fargo,40,Male,23877.5,2164,183,,360155.89999999997,0,0
C00000013,A00000010,25,TX,Houston,54,Female,59295.2,855,59,,549950.3,0,0
C00000014,A00000011,57,NY,Yonkers,76,Female,23187.4,1178,40,,4377.7,0,0
C00000015,A00000012,81,NE,Omaha,21,Female,26113.2,625,19,,2672.3,0,0
C00000016,A00000012,80,NE,Omaha,21,Male,26113.2,625,19,,2672.3,0,0
C00000017,A00000013,65,NY,Yonkers,76,Male,13224.8,501,15,,1871.4,0,0
C00000018,A00000013,68,NY,Yonkers,76,Female,13224.8,501,15,,1871.4,0,0
C00000019,A00000014,57,WV,Charleston,47,Male,39313.9,764,52,,412586.0,0,1
C00000020,A00000015,21,CA,San Diego,46,Male,47423.0,1916,129,,1188498.1,0,0
C00000021,A00000016,47,OR,Portland,12,Female,33031.7,464,32,,347217.9,0,0
