account_id,type,amount_credit,trans_count,loan_id,amount_loan,duration,payments,status_loan,year,month,day,fulldate,location,purpose_loan,balance_last,diff_date
A00000001,Credit,28765.5,57,,,,,,,,,,,,13466.5,1378
A00000002,Credit,59117.5,82,L00004959,80952.0,24.0,3373.0,A,2014.0,1.0,5.0,2014-01-05,1.0,home,42628.1,2134
A00000003,Credit,173059.0,46,,,,,,,,,,,,51096.1,542
A00000004,Credit,3544.0,31,,,,,,,,,,,,33720.7,1044
A00000005,Credit,2162.0,16,,,,,,,,,,,,28088.3,580
A00000006,Credit,7498.5,48,,,,,,,,,,,,47668.0,1556
A00000007,Credit,630267.9,51,,,,,,,,,,,,68495.5,767
A00000008,Credit,892761.7,84,,,,,,,,,,,,72617.2,1197
A00000009,Credit,360155.89999999997,183,,,,,,,,,,,,23877.5,2164
A00000010,Credit,549950.3,59,,,,,,,,,,,,59295.2,855
A00000011,Credit,4377.7,40,,,,,,,,,,,,23187.4,1178
A00000012,Credit,2672.3,19,,,,,,,,,,,,26113.2,625
A00000013,Credit,1871.4,15,,,,,,,,,,,,13224.8,501
A00000014,Credit,412586.0,52,,,,,,,,,,,,39313.9,764
A00000015,Credit,1188498.1,129,,,,,,,,,,,,47423.0,1916
A00000016,Credit,347217.9,32,,,,,,,,,,,,33031.7,464
A00000017,Credit,255463.6,33,,,,,,,,,,,,97877.9,722
A00000018,Credit,1905128.3,156,,,,,,,,,,,,81557.7,2045
A00000019,Credit,51387.6,107,L00004961,30276.0,12.0,2523.0,B,2016.0,4.0,29.0,2016-04-29,1.0,debt_consolidation,10840.1,1364
A00000020,Credit,2080.3,25,,,,,,,,,,,,17692.2,859
A00000021,Credit,175831.5,34,,,,,,,,,,,,53230.6,390
A00000022,Credit,1067603.3,118,,,,,,,,,,,,35740.0,1744
A00000023,Credit,1639480.8,137,,,,,,,,,,,,83101.2,2049
A00000024,Credit,354856.6,52,,,,,,,,,,,,21582.5,756
A00000025,Credit,1494372.1,82,L00004962,30276.0,12.0,2523.0,A,2017.0,12.0,8.0,2017-12-08,1.0,debt_consolidation,30199.4,886
A00000026,Credit,12863.4,68,,,,,,,,,,,,51771.4,1971
A00000027,Credit,618575.3,135,,,,,,,,,,,,32196.5,1922
A00000029,Credit,961743.3,100,,,,,,,,,,,,37551.4,1498
A00000030,Credit,2302979.4,130,,,,,,,,,,,,44155.3,1397
A00000031,Credit,2910488.1,164,,,,,,,,,,,,13312.9,1678
A00000032,Credit,734330.7,82,,,,,,,,,,,,89719.6,1221
A00000033,Credit,1672195.4,131,,,,,,,,,,,,112405.5,1953
A00000034,Credit,14984.5,64,,,,,,,,,,,,50114.2,1931
A00000035,Credit,5362.1,62,,,,,,,,,,,,20742.1,2003
A00000036,Credit,1436075.6,134,,,,,,,,,,,,79146.7,2009
A00000037,Credit,497029.2,36,L00004967,318480.0,60.0,5308.0,D,2018.0,10.0,14.0,2018-10-14,1.0,home,45904.5,500
A00000038,Credit,52205.3,31,L00004968,110736.0,48.0,2307.0,C,2018.0,4.0,19.0,2018-04-19,1.0,home,44580.5,510
A00000039,Credit,7065.7,61,,,,,,,,,,,,16315.4,1926
A00000040,Credit,464908.7,133,,,,,,,,,,,,23704.0,1893
A00000041,Credit,327942.9,36,,,,,,,,,,,,100767.7,516
A00000042,Credit,310489.2,63,,,,,,,,,,,,25984.1,867
A00000043,Credit,1451226.7,112,,,,,,,,,,,,60766.5,1663
A00000044,Credit,5230.2,64,,,,,,,,,,,,23842.6,2061
A00000045,Credit,79639.3,41,,,,,,,,,,,,25878.4,485
A00000047,Credit,20700.4,68,,,,,,,,,,,,78755.0,1971
A00000048,Credit,634067.7,52,,,,,,,,,,,,70915.5,774
A00000049,Credit,1502.2,22,,,,,,,,,,,,15310.5,634
A00000050,Credit,1001516.6,117,,,,,,,,,,,,86128.7,1700
A00000051,Credit,710282.3,63,,,,,,,,,,,,98222.5,964
A00000052,Credit,4681.6,25,,,,,,,,,,,,21159.8,701
A00000053,Credit,3713.0,44,,,,,,,,,,,,15130.3,1303
A00000054,Credit,4271.2,45,,,,,,,,,,,,26815.6,1339
A00000055,Credit,2479.7,31,,,,,,,,,,,,20988.2,1046
A00000056,Credit,909738.4,118,,,,,,,,,,,,57568.1,1690
A00000057,Credit,1009432.7,87,,,,,,,,,,,,63004.5,1320
A00000058,Credit,1856.6,26,,,,,,,,,,,,11255.5,860
A00000059,Credit,941096.1,123,,,,,,,,,,,,79811.4,1740
A00000061,Credit,5356.4,57,,,,,,,,,,,,18423.2,1846
A00000062,Credit,7305.1,66,,,,,,,,,,,,16686.1,2104
A00000063,Credit,2934.0,22,,,,,,,,,,,,32334.9,775
A00000064,Credit,119829.8,30,,,,,,,,,,,,21730.1,630
A00000065,Credit,706796.5,53,,,,,,,,,,,,56145.9,793
A00000066,Credit,16365.1,62,,,,,,,,,,,,100252.6,1854
A00000067,Credit,17732.0,52,L00004973,165960.0,24.0,6915.0,A,2016.0,5.0,2.0,2016-05-02,1.0,home,39709.5,1534
A00000068,Credit,22355.5,50,,,,,,,,,,,,97117.5,1472
A00000069,Credit,282303.2,123,,,,,,,,,,,,63471.3,1084
A00000070,Credit,478821.9,101,,,,,,,,,,,,42423.1,1412
A00000071,Credit,1382682.7,118,,,,,,,,,,,,69570.4,1762
A00000072,Credit,1654840.5,92,,,,,,,,,,,,22336.3,924
A00000073,Credit,1313249.9,128,,,,,,,,,,,,61919.5,1879
A00000075,Credit,555590.5,82,,,,,,,,,,,,25295.4,1236
A00000076,Credit,299929.9,73,,,,,,,,,,,,19633.9,959
A00000077,Credit,3667.7,27,,,,,,,,,,,,19338.7,772
A00000078,Credit,1273705.9,137,,,,,,,,,,,,77935.4,2003
A00000079,Credit,2271.9,22,,,,,,,,,,,,21902.0,762
A00000080,Credit,3782.7,36,,,,,,,,,,,,27350.0,1191
A00000081,Credit,46317.200000000004,45,,,,,,,,,,,,36443.8,896
A00000082,Credit,2462375.7,144,,,,,,,,,,,,83928.8,1703
A00000083,Credit,725598.3,147,,,,,,,,,,,,33238.6,2085
A00000084,Credit,1239517.6,93,,,,,,,,,,,,104121.3,1102
A00000085,Credit,181593.1,54,,,,,,,,,,,,52012.4,648
A00000086,Credit,6424.8,71,,,,,,,,,,,,21975.6,2125
A00000088,Credit,2461.3,31,,,,,,,,,,,,24428.0,911
A00000089,Credit,98565.9,33,,,,,,,,,,,,37919.9,462
A00000090,Credit,1431980.4,110,,,,,,,,,,,,24126.6,1632
A00000091,Credit,266448.1,42,,,,,,,,,,,,-4187.6,754
A00000093,Credit,261388.5,66,,,,,,,,,,,,34008.9,915
A00000095,Credit,1182225.9,92,,,,,,,,,,,,80441.6,1372
A00000096,Credit,56548.0,76,,,,,,,,,,,,84861.0,2142
A00000097,Credit,640920.2,67,L00004986,102876.0,12.0,8573.0,A,2017.0,8.0,10.0,2017-08-10,1.0,home,52583.8,970
A00000098,Credit,2282.0,21,,,,,,,,,,,,14443.9,608
A00000099,Credit,1258139.7,93,,,,,,,,,,,,2321.8,1252
A00000100,Credit,883214.5,145,,,,,,,,,,,,74839.1,1829
A00000101,Credit,676120.2,71,,,,,,,,,,,,73685.1,989
A00000102,Credit,909034.0,118,,,,,,,,,,,,49992.7,1902
A00000103,Credit,876387.2,84,L00004988,265320.0,36.0,7370.0,D,2017.0,12.0,6.0,2017-12-06,1.0,home,37861.9,1026
A00000104,Credit,5841.3,65,,,,,,,,,,,,25637.8,2086
A00000105,Credit,255490.69999999998,30,L00004989,352704.0,48.0,7348.0,C,2018.0,12.0,5.0,2018-12-05,1.0,home,17221.3,539
A00000106,Credit,959859.2,99,,,,,,,,,,,,64941.3,1495
A00000107,Credit,551131.0,152,,,,,,,,,,,,44266.2,1882
A00000108,Credit,794900.5,94,,,,,,,,,,,,56976.3,1392
A00000109,Credit,122669.9,70,,,,,,,,,,,,41821.7,620
A00000110,Credit,751639.3,61,L00004990,162576.0,36.0,4516.0,C,2017.0,9.0,8.0,2017-09-08,1.0,home,73880.9,897
A00000112,Credit,7514.7,71,,,,,,,,,,,,51810.0,2120
A00000113,Credit,2658.5,26,,,,,,,,,,,,26350.9,892
A00000114,Credit,1990.3,18,,,,,,,,,,,,26099.7,657
A00000115,Credit,634589.6,158,,,,,,,,,,,,33604.8,2113
A00000116,Credit,840019.4,68,,,,,,,,,,,,72209.3,1015
A00000117,Credit,6249.2,65,,,,,,,,,,,,16679.5,1943
A00000118,Credit,26909.8,22,,,,,,,,,,,,29483.7,469
A00000119,Credit,1583824.2,135,,,,,,,,,,,,57394.8,2046
A00000120,Credit,1076825.9,105,,,,,,,,,,,,25835.8,1294
A00000121,Credit,28416.7,24,,,,,,,,,,,,34955.3,446
A00000122,Credit,650394.6,53,,,,,,,,,,,,56787.8,792
A00000123,Credit,4741.2,66,,,,,,,,,,,,23383.0,2119
A00000124,Credit,15654.1,17,,,,,,,,,,,,13566.0,368
A00000125,Credit,983802.4,66,,,,,,,,,,,,64858.3,845
