disp_id,client_id,account_id,type,age,state,city,district_id,sex,card_id,type_card,year,month,day,fulldate,type_trans,amount_credit,trans_count,loan_id,amount_loan,duration,payments,status_loan,year_trans,month_trans,day_trans,fulldate_trans,location,purpose_loan,balance_last,diff_date,is_has_loan,is_has_card
D00000001,C00000001,A00000001,Owner,29,NM,Albuquerque,18,Female,,,,,,,Credit,28765.5,57,,,,,,,,,,,,13466.5,1378,0,0
D00000002,C00000002,A00000002,Owner,54,NY,New York City,1,Male,,,,,,,Credit,59117.5,82,L00004959,80952.0,24.0,3373.0,A,2014.0,1.0,5.0,2014-01-05,1.0,home,42628.1,2134,1,0
D00000003,C00000003,A00000002,User,59,NY,New York City,1,Female,,,,,,,Credit,59117.5,82,L00004959,80952.0,24.0,3373.0,A,2014.0,1.0,5.0,2014-01-05,1.0,home,42628.1,2134,1,0
D00000004,C00000004,A00000003,Owner,43,IN,Indianapolis,5,Male,,,,,,,Credit,173059.0,46,,,,,,,,,,,,51096.1,542,0,0
D00000005,C00000005,A00000003,User,39,IN,Indianapolis,5,Female,,,,,,,Credit,173059.0,46,,,,,,,,,,,,51096.1,542,0,0
D00000006,C00000006,A00000004,Owner,80,OR,Portland,12,Male,,,,,,,Credit,3544.0,31,,,,,,,,,,,,33720.7,1044,0,0
D00000007,C00000007,A00000005,Owner,71,KY,Louisville,15,Male,,,,,,,Credit,2162.0,16,,,,,,,,,,,,28088.3,580,0,0
D00000008,C00000008,A00000006,Owner,61,MA,Springfield,51,Female,,,,,,,Credit,7498.5,48,,,,,,,,,,,,47668.0,1556,0,0
D00000009,C00000009,A00000007,Owner,64,MA,Lynn,60,Male,V00000001,VISA Infinite,2018.0,10.0,16.0,2018-10-16,Credit,630267.9,51,,,,,,,,,,,,68495.5,767,0,1
D00000010,C00000010,A00000008,Owner,56,MA,New Bedford,57,Male,,,,,,,Credit,892761.7,84,,,,,,,,,,,,72617.2,1197,0,0
D00000011,C00000011,A00000008,User,49,MA,New Bedford,57,Female,,,,,,,Credit,892761.7,84,,,,,,,,,,,,72617.2,1197,0,0
D00000012,C00000012,A00000009,Owner,18,ND,Fargo,40,Male,,,,,,,Credit,360155.89999999997,183,,,,,,,,,,,,23877.5,2164,0,0
D00000013,C00000013,A00000010,Owner,25,TX,Houston,54,Female,,,,,,,Credit,549950.3,59,,,,,,,,,,,,59295.2,855,0,0
D00000014,C00000014,A00000011,Owner,57,NY,Yonkers,76,Female,,,,,,,Credit,4377.7,40,,,,,,,,,,,,23187.4,1178,0,0
D00000015,C00000015,A00000012,Owner,81,NE,Omaha,21,Female,,,,,,,Credit,2672.3,19,,,,,,,,,,,,26113.2,625,0,0
D00000016,C00000016,A00000012,User,80,NE,Omaha,21,Male,,,,,,,Credit,2672.3,19,,,,,,,,,,,,26113.2,625,0,0
D00000017,C00000017,A00000013,Owner,65,NY,Yonkers,76,Male,,,,,,,Credit,1871.4,15,,,,,,,,,,,,13224.8,501,0,0
D00000018,C00000018,A00000013,User,68,NY,Yonkers,76,Female,,,,,,,Credit,1871.4,15,,,,,,,,,,,,13224.8,501,0,0
D00000019,C00000019,A00000014,Owner,57,WV,Charleston,47,Male,V00000002,VISA Signature,2018.0,3.0,13.0,2018-03-13,Credit,412586.0,52,,,,,,,,,,,,39313.9,764,0,1
D00000020,C00000020,A00000015,Owner,21,CA,San Diego,46,Male,,,,,,,Credit,1188498.1,129,,,,,,,,,,,,47423.0,1916,0,0
D00000021,C00000021,A00000016,Owner,47,OR,Portland,12,Female,,,,,,,Credit,347217.9,32,,,,,,,,,,,,33031.7,464,0,0
D00000022,C00000022,A00000017,Owner,30,NY,New York City,1,Female,,,,,,,Credit,255463.6,33,,,,,,,,,,,,97877.9,722,0,0
D00000023,C00000023,A00000017,User,26,NY,New York City,1,Male,,,,,,,Credit,255463.6,33,,,,,,,,,,,,97877.9,722,0,0
D00000024,C00000024,A00000018,Owner,60,DE,Wilmington,43,Female,,,,,,,Credit,1905128.3,156,,,,,,,,,,,,81557.7,2045,0,0
D00000025,C00000025,A00000019,Owner,60,NE,Omaha,21,Female,,,,,,,Credit,51387.6,107,L00004961,30276.0,12.0,2523.0,B,2016.0,4.0,29.0,2016-04-29,1.0,debt_consolidation,10840.1,1364,1,0
D00000026,C00000026,A00000020,Owner,30,IL,Chicago,74,Female,,,,,,,Credit,2080.3,25,,,,,,,,,,,,17692.2,859,0,0
D00000027,C00000027,A00000021,Owner,33,TX,Houston,54,Female,,,,,,,Credit,175831.5,34,,,,,,,,,,,,53230.6,390,0,0
D00000028,C00000028,A00000022,Owner,54,NY,New York City,1,Male,,,,,,,Credit,1067603.3,118,,,,,,,,,,,,35740.0,1744,0,0
D00000029,C00000029,A00000023,Owner,48,ID,Boise,30,Female,,,,,,,Credit,1639480.8,137,,,,,,,,,,,,83101.2,2049,0,0
D00000030,C00000030,A00000024,Owner,42,IL,Chicago,74,Female,,,,,,,Credit,354856.6,52,,,,,,,,,,,,21582.5,756,0,0
D00000031,C00000031,A00000025,Owner,37,RI,Cranston,68,Male,,,,,,,Credit,1494372.1,82,L00004962,30276.0,12.0,2523.0,A,2017.0,12.0,8.0,2017-12-08,1.0,debt_consolidation,30199.4,886,1,0
D00000032,C00000032,A00000026,Owner,19,CT,New Haven,52,Male,,,,,,,Credit,12863.4,68,,,,,,,,,,,,51771.4,1971,0,0
D00000033,C00000033,A00000027,Owner,51,CT,New Britain,73,Female,,,,,,,Credit,618575.3,135,,,,,,,,,,,,32196.5,1922,0,0
D00000036,C00000036,A00000029,Owner,21,CO,Denver,7,Female,,,,,,,Credit,961743.3,100,,,,,,,,,,,,37551.4,1498,0,0
D00000037,C00000037,A00000029,User,29,CO,Denver,7,Male,,,,,,,Credit,961743.3,100,,,,,,,,,,,,37551.4,1498,0,0
D00000038,C00000038,A00000030,Owner,26,RI,Providence,36,Female,,,,,,,Credit,2302979.4,130,,,,,,,,,,,,44155.3,1397,0,0
D00000039,C00000039,A00000031,Owner,32,RI,Cranston,68,Male,,,,,,,Credit,2910488.1,164,,,,,,,,,,,,13312.9,1678,0,0
D00000040,C00000040,A00000032,Owner,43,IN,Indianapolis,5,Female,,,,,,,Credit,734330.7,82,,,,,,,,,,,,89719.6,1221,0,0
D00000041,C00000041,A00000033,Owner,31,VA,Virginia Beach,22,Male,V00000003,VISA Infinite,2015.0,9.0,3.0,2015-09-03,Credit,1672195.4,131,,,,,,,,,,,,112405.5,1953,0,1
D00000042,C00000042,A00000034,Owner,64,RI,Cranston,68,Male,V00000004,VISA Signature,2018.0,11.0,26.0,2018-11-26,Credit,14984.5,64,,,,,,,,,,,,50114.2,1931,0,1
D00000043,C00000043,A00000035,Owner,79,NY,Rochester,75,Male,,,,,,,Credit,5362.1,62,,,,,,,,,,,,20742.1,2003,0,0
D00000044,C00000044,A00000036,Owner,23,CT,Bridgeport,38,Female,,,,,,,Credit,1436075.6,134,,,,,,,,,,,,79146.7,2009,0,0
D00000045,C00000045,A00000037,Owner,47,MO,Kansas City,20,Male,,,,,,,Credit,497029.2,36,L00004967,318480.0,60.0,5308.0,D,2018.0,10.0,14.0,2018-10-14,1.0,home,45904.5,500,1,0
D00000046,C00000046,A00000038,Owner,60,GA,Atlanta,19,Female,,,,,,,Credit,52205.3,31,L00004968,110736.0,48.0,2307.0,C,2018.0,4.0,19.0,2018-04-19,1.0,home,44580.5,510,1,0
D00000047,C00000047,A00000039,Owner,65,NY,Yonkers,76,Male,,,,,,,Credit,7065.7,61,,,,,,,,,,,,16315.4,1926,0,0
D00000048,C00000048,A00000040,Owner,59,MD,Baltimore,16,Male,,,,,,,Credit,464908.7,133,,,,,,,,,,,,23704.0,1893,0,0
D00000049,C00000049,A00000041,Owner,40,PA,Philadelphia,72,Female,,,,,,,Credit,327942.9,36,,,,,,,,,,,,100767.7,516,0,0
D00000050,C00000050,A00000042,Owner,21,SC,Charleston,39,Female,,,,,,,Credit,310489.2,63,,,,,,,,,,,,25984.1,867,0,0
D00000051,C00000051,A00000043,Owner,20,RI,Providence,36,Female,V00000005,VISA Standard,2015.0,4.0,24.0,2015-04-24,Credit,1451226.7,112,,,,,,,,,,,,60766.5,1663,0,1
D00000052,C00000052,A00000044,Owner,75,AL,Birmingham,32,Male,,,,,,,Credit,5230.2,64,,,,,,,,,,,,23842.6,2061,0,0
D00000053,C00000053,A00000045,Owner,22,AZ,Phoenix,64,Male,,,,,,,Credit,79639.3,41,,,,,,,,,,,,25878.4,485,0,0
D00000055,C00000055,A00000047,Owner,51,WY,Cheyenne,45,Female,,,,,,,Credit,20700.4,68,,,,,,,,,,,,78755.0,1971,0,0
D00000056,C00000056,A00000048,Owner,39,NE,Omaha,21,Male,V00000007,VISA Signature,2018.0,6.0,11.0,2018-06-11,Credit,634067.7,52,,,,,,,,,,,,70915.5,774,0,1
D00000057,C00000057,A00000048,User,38,NE,Omaha,21,Female,,,,,,,Credit,634067.7,52,,,,,,,,,,,,70915.5,774,0,0
D00000058,C00000058,A00000049,Owner,72,NY,New York City,1,Female,,,,,,,Credit,1502.2,22,,,,,,,,,,,,15310.5,634,0,0
D00000059,C00000059,A00000050,Owner,42,NY,New York City,1,Male,,,,,,,Credit,1001516.6,117,,,,,,,,,,,,86128.7,1700,0,0
D00000060,C00000060,A00000051,Owner,19,CT,Danbury,67,Male,V00000008,VISA Standard,2018.0,5.0,20.0,2018-05-20,Credit,710282.3,63,,,,,,,,,,,,98222.5,964,0,1
D00000061,C00000061,A00000052,Owner,51,MD,Baltimore,16,Female,,,,,,,Credit,4681.6,25,,,,,,,,,,,,21159.8,701,0,0
D00000062,C00000062,A00000053,Owner,67,NY,Syracuse,77,Male,,,,,,,Credit,3713.0,44,,,,,,,,,,,,15130.3,1303,0,0
D00000063,C00000063,A00000054,Owner,40,NC,Charlotte,4,Male,,,,,,,Credit,4271.2,45,,,,,,,,,,,,26815.6,1339,0,0
D00000064,C00000064,A00000055,Owner,73,MO,Kansas City,20,Male,,,,,,,Credit,2479.7,31,,,,,,,,,,,,20988.2,1046,0,0
D00000065,C00000065,A00000056,Owner,56,NY,Buffalo,50,Female,,,,,,,Credit,909738.4,118,,,,,,,,,,,,57568.1,1690,0,0
D00000066,C00000066,A00000057,Owner,48,NY,New York City,1,Female,,,,,,,Credit,1009432.7,87,,,,,,,,,,,,63004.5,1320,0,0
D00000067,C00000067,A00000058,Owner,67,NJ,Newark,29,Female,,,,,,,Credit,1856.6,26,,,,,,,,,,,,11255.5,860,0,0
D00000068,C00000068,A00000059,Owner,53,DE,Wilmington,43,Male,,,,,,,Credit,941096.1,123,,,,,,,,,,,,79811.4,1740,0,0
D00000070,C00000070,A00000061,Owner,74,CA,Los Angeles,70,Male,,,,,,,Credit,5356.4,57,,,,,,,,,,,,18423.2,1846,0,0
D00000071,C00000071,A00000061,User,72,CA,Los Angeles,70,Female,,,,,,,Credit,5356.4,57,,,,,,,,,,,,18423.2,1846,0,0
D00000072,C00000072,A00000062,Owner,77,WV,Charleston,47,Male,,,,,,,Credit,7305.1,66,,,,,,,,,,,,16686.1,2104,0,0
D00000073,C00000073,A00000063,Owner,75,VA,Virginia Beach,22,Male,,,,,,,Credit,2934.0,22,,,,,,,,,,,,32334.9,775,0,0
D00000074,C00000074,A00000063,User,74,VA,Virginia Beach,22,Female,,,,,,,Credit,2934.0,22,,,,,,,,,,,,32334.9,775,0,0
D00000075,C00000075,A00000064,Owner,22,AZ,Phoenix,64,Female,,,,,,,Credit,119829.8,30,,,,,,,,,,,,21730.1,630,0,0
D00000076,C00000076,A00000065,Owner,32,RI,Providence,36,Female,V00000009,VISA Signature,2017.0,10.0,25.0,2017-10-25,Credit,706796.5,53,,,,,,,,,,,,56145.9,793,0,1
D00000077,C00000077,A00000066,Owner,43,NY,New York City,1,Female,V00000010,VISA Signature,2016.0,12.0,7.0,2016-12-07,Credit,16365.1,62,,,,,,,,,,,,100252.6,1854,0,1
D00000078,C00000078,A00000067,Owner,55,MD,Baltimore,16,Female,,,,,,,Credit,17732.0,52,L00004973,165960.0,24.0,6915.0,A,2016.0,5.0,2.0,2016-05-02,1.0,home,39709.5,1534,1,0
D00000079,C00000079,A00000068,Owner,30,MS,Jackson,37,Female,V00000011,VISA Infinite,2017.0,10.0,25.0,2017-10-25,Credit,22355.5,50,,,,,,,,,,,,97117.5,1472,0,1
D00000080,C00000080,A00000069,Owner,20,AZ,Phoenix,64,Female,,,,,,,Credit,282303.2,123,,,,,,,,,,,,63471.3,1084,0,0
D00000081,C00000081,A00000070,Owner,23,DC,Washington,8,Male,,,,,,,Credit,478821.9,101,,,,,,,,,,,,42423.1,1412,0,0
D00000082,C00000082,A00000070,User,20,DC,Washington,8,Female,,,,,,,Credit,478821.9,101,,,,,,,,,,,,42423.1,1412,0,0
D00000083,C00000083,A00000071,Owner,21,NY,New York City,1,Female,V00000012,VISA Standard,2016.0,9.0,11.0,2016-09-11,Credit,1382682.7,118,,,,,,,,,,,,69570.4,1762,0,1
D00000084,C00000084,A00000071,User,20,NY,New York City,1,Male,,,,,,,Credit,1382682.7,118,,,,,,,,,,,,69570.4,1762,0,0
D00000085,C00000085,A00000072,Owner,38,NY,New York City,1,Male,,,,,,,Credit,1654840.5,92,,,,,,,,,,,,22336.3,924,0,0
D00000086,C00000086,A00000072,User,30,NY,New York City,1,Female,,,,,,,Credit,1654840.5,92,,,,,,,,,,,,22336.3,924,0,0
D00000087,C00000087,A00000073,Owner,53,PA,Philadelphia,72,Female,V00000013,VISA Signature,2014.0,6.0,29.0,2014-06-29,Credit,1313249.9,128,,,,,,,,,,,,61919.5,1879,0,1
D00000089,C00000089,A00000075,Owner,48,NY,New York City,1,Female,,,,,,,Credit,555590.5,82,,,,,,,,,,,,25295.4,1236,0,0
D00000090,C00000090,A00000076,Owner,24,CT,New Haven,52,Male,,,,,,,Credit,299929.9,73,,,,,,,,,,,,19633.9,959,0,0
D00000091,C00000091,A00000077,Owner,59,CT,Norwalk,63,Male,,,,,,,Credit,3667.7,27,,,,,,,,,,,,19338.7,772,0,0
D00000092,C00000092,A00000078,Owner,33,IL,Chicago,74,Female,,,,,,,Credit,1273705.9,137,,,,,,,,,,,,77935.4,2003,0,0
D00000093,C00000093,A00000079,Owner,74,OH,Columbus,3,Male,,,,,,,Credit,2271.9,22,,,,,,,,,,,,21902.0,762,0,0
D00000094,C00000094,A00000080,Owner,52,DE,Wilmington,43,Male,,,,,,,Credit,3782.7,36,,,,,,,,,,,,27350.0,1191,0,0
D00000095,C00000095,A00000080,User,47,DE,Wilmington,43,Female,,,,,,,Credit,3782.7,36,,,,,,,,,,,,27350.0,1191,0,0
D00000096,C00000096,A00000081,Owner,27,IL,Chicago,74,Male,,,,,,,Credit,46317.200000000004,45,,,,,,,,,,,,36443.8,896,0,0
D00000097,C00000097,A00000082,Owner,34,HI,Honolulu,26,Male,,,,,,,Credit,2462375.7,144,,,,,,,,,,,,83928.8,1703,0,0
D00000098,C00000098,A00000083,Owner,26,UT,Salt Lake City,33,Female,,,,,,,Credit,725598.3,147,,,,,,,,,,,,33238.6,2085,0,0
D00000099,C00000099,A00000083,User,27,UT,Salt Lake City,33,Male,,,,,,,Credit,725598.3,147,,,,,,,,,,,,33238.6,2085,0,0
D00000100,C00000100,A00000084,Owner,57,ME,Portland,44,Female,,,,,,,Credit,1239517.6,93,,,,,,,,,,,,104121.3,1102,0,0
D00000101,C00000101,A00000085,Owner,57,RI,Cranston,68,Male,,,,,,,Credit,181593.1,54,,,,,,,,,,,,52012.4,648,0,0
